rainfall,avocado_yield
1099.3428306022465,278.16338534185763
972.347139765763,208.55697761877167
1129.5377076201385,293.65536745540476
1304.605971281605,308.1323321228371
953.1693250553328,229.5415187700349
953.1726086101639,220.24195378565906
1315.8425631014784,384.5289863106377
1153.4869458305818,287.9668197155074
906.1051228130095,194.79495283457538
1108.5120087171929,301.8043495423939
907.3164614375075,190.20380586024623
906.8540492859486,232.9794201716298
1048.3924543132068,203.30800986190843
617.3439510684404,114.49040630015719
655.0164334973935,169.65994545042207
887.5424941518055,244.03962093781368
797.4337759331153,204.49949241897792
1062.8494665190549,262.2429181581165
818.3951848957578,195.5656853562608
717.5392597329417,135.02915522221258
1293.1297537843109,301.6871121942365
954.8447399026928,224.89202184687957
1013.5056409375848,285.0900770209637
715.0503627573087,945.355696881905
891.1234550949634,849.4482955642943
