Pripravek,Placebo
57.483570765056164,52.78378050656461
54.308678494144075,47.121893230374525
58.23844269050346,44.11753483124931
62.61514928204013,49.32840147268343
53.82923312638332,47.204728775027554
53.8293152152541,50.83744565791623
62.896064077536955,42.951867577384625
58.837173645764544,53.73239612754685
52.65262807032524,47.73586563839929
57.712800217929825,55.88765199827285
52.68291153593769,49.52439661588418
52.671351232148716,50.781945582943635
56.20981135783017,50.04371642138148
45.43359877671101,47.46809236436471
46.375410837434835,63.27028812622937
52.188562353795135,48.42955992482965
49.93584439832788,56.02649842719437
56.57123666297637,45.4407460845491
50.45987962239394,52.769547770331876
47.93848149332354,53.303251634525246
